epoch,recall,mAP_0.5,mAP_0.5_0.95
186,0.64145,0.70232,0.42723
187,0.64054,0.70231,0.42782
188,0.64009,0.70258,0.4279
189,0.63835,0.70283,0.42841
190,0.63741,0.70317,0.42853
191,0.63767,0.70362,0.42917
192,0.63657,0.70397,0.42953
193,0.63707,0.70438,0.43017
194,0.63687,0.70499,0.4308
195,0.63722,0.70517,0.4311
196,0.63628,0.70563,0.43171
197,0.63706,0.70589,0.43227
198,0.6431,0.70614,0.43249
199,0.6439,0.70667,0.43295
