               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046572,            0.037721,            0.024259,             0.57792,              0.5129,             0.52768,             0.27404,            0.042225,            0.021655,            0.015146,           0.0082675,           0.0082675,           0.0082675
                  37,            0.046345,            0.037829,            0.024071,             0.56186,             0.49884,             0.51314,             0.26667,            0.042657,            0.021756,            0.015969,            0.008218,            0.008218,            0.008218
                  38,            0.046332,            0.037518,            0.023976,             0.57738,             0.51752,             0.52819,             0.27778,            0.042431,            0.021658,            0.015294,           0.0081685,           0.0081685,           0.0081685
                  39,            0.046035,            0.037361,            0.023515,             0.57646,              0.5206,             0.53209,             0.28146,            0.042175,              0.0216,            0.015646,            0.008119,            0.008119,            0.008119
                  40,            0.045748,            0.037289,             0.02321,             0.57589,             0.52488,             0.53595,             0.28396,            0.041925,            0.021477,            0.014871,           0.0080695,           0.0080695,           0.0080695
                  41,            0.045771,            0.037315,            0.023108,              0.5812,             0.52335,             0.54144,             0.28533,            0.041783,             0.02159,            0.015112,             0.00802,             0.00802,             0.00802
                  42,            0.045524,            0.037193,            0.023306,             0.58026,             0.52047,             0.54542,             0.28817,            0.041671,            0.021574,            0.014741,           0.0079705,           0.0079705,           0.0079705
                  43,            0.045489,            0.036836,            0.022864,             0.59766,             0.53283,             0.55423,             0.29557,            0.041212,            0.021439,            0.014307,            0.007921,            0.007921,            0.007921
                  44,            0.045529,            0.037052,            0.022871,             0.58618,             0.53721,             0.55501,             0.29613,            0.041352,            0.021297,            0.014346,           0.0078715,           0.0078715,           0.0078715
                  45,            0.045255,            0.037034,            0.022555,             0.59765,             0.53196,              0.5576,             0.30093,            0.040959,            0.021232,            0.014051,            0.007822,            0.007822,            0.007822
                  46,            0.045099,            0.036798,            0.022409,             0.60972,             0.54249,             0.56869,             0.30665,            0.041095,            0.021348,             0.01397,           0.0077725,           0.0077725,           0.0077725
                  47,            0.045264,            0.037167,            0.022585,             0.59534,             0.53957,             0.56434,             0.30698,            0.040758,            0.021129,             0.01356,            0.007723,            0.007723,            0.007723
                  48,            0.044974,            0.037003,            0.022147,             0.61724,             0.55329,             0.58095,              0.3166,            0.040508,            0.021136,            0.013672,           0.0076735,           0.0076735,           0.0076735
                  49,            0.044893,            0.037261,            0.021776,             0.60032,             0.53934,             0.55811,             0.30268,            0.040841,            0.021309,            0.014285,            0.007624,            0.007624,            0.007624
                  50,            0.044656,            0.036869,            0.021606,             0.60858,             0.56052,             0.57949,             0.31723,            0.040349,            0.021087,             0.01329,           0.0075745,           0.0075745,           0.0075745
                  51,            0.044476,            0.036402,            0.021611,             0.60051,             0.55858,             0.58138,             0.32166,            0.040273,            0.021022,            0.012838,            0.007525,            0.007525,            0.007525
                  52,            0.044458,            0.036344,            0.021611,             0.62903,             0.56058,             0.59601,             0.32896,            0.040233,            0.020951,            0.012798,           0.0074755,           0.0074755,           0.0074755
                  53,            0.044509,            0.036866,             0.02123,             0.62435,             0.55278,             0.58481,              0.3224,            0.040161,             0.02087,            0.012843,            0.007426,            0.007426,            0.007426
                  54,            0.044524,            0.036539,            0.021222,             0.61844,             0.57037,             0.59339,             0.32972,            0.039943,            0.020828,            0.012913,           0.0073765,           0.0073765,           0.0073765
                  55,             0.04421,            0.036487,            0.021263,             0.62597,             0.57556,             0.60742,              0.3375,            0.039962,            0.020728,            0.012211,            0.007327,            0.007327,            0.007327
                  56,            0.044449,             0.03645,            0.021279,             0.62987,             0.55728,             0.59351,             0.32849,            0.039874,             0.02089,            0.012558,           0.0072775,           0.0072775,           0.0072775
                  57,            0.044467,            0.036687,            0.020496,              0.6274,             0.57231,             0.60256,             0.33493,            0.039742,             0.02082,            0.012067,            0.007228,            0.007228,            0.007228
                  58,             0.04406,            0.036602,            0.020446,             0.63113,             0.58091,             0.61645,             0.34389,            0.039588,            0.020736,             0.01195,           0.0071785,           0.0071785,           0.0071785
