epoch,com_a_0.74_mAP_0.5,com_a_0.75_mAP_0.5_0.95,atl_mAP_0.5,alt_mAP_0.5:0.95,L1_mAP_0.5,L1_mAP_0.5:0.95,MSE_mAP_0.5,MSE_mAP_0.5:0.95,com_a0.5_mAP_0.5,com_0.5_mAP_0.5:0.95,com_a0.25_mAP_0.5,com_a0.25_mAP_0.5:0.95
48,0.58081,0.31612,0.58667,0.32629,0.57793,0.3189,0.59175,0.32874,0.5905,0.32877,0.58095,0.3166
49,0.55902,0.30376,0.59022,0.32792,0.58198,0.32113,0.5942,0.33076,0.59393,0.33109,0.55811,0.30268
50,0.5722,0.31179,0.59303,0.33107,0.58478,0.32266,0.59637,0.33303,0.59477,0.33304,0.57949,0.31723
51,0.58354,0.32223,0.59563,0.33279,0.5853,0.32419,0.59815,0.33407,0.59696,0.33396,0.58138,0.32166
52,0.57532,0.31607,0.59822,0.3348,0.58746,0.32596,0.60127,0.33569,0.59928,0.33513,0.59601,0.32896
53,0.59111,0.32859,0.60187,0.33771,0.58913,0.32701,0.60281,0.33721,0.6012,0.33717,0.58481,0.3224
54,0.59613,0.33226,0.60399,0.33968,0.59177,0.32879,0.60492,0.33871,0.60348,0.3386,0.59339,0.32972
55,0.59393,0.32687,0.60464,0.34071,0.59448,0.33,0.60595,0.33985,0.60492,0.34019,0.60742,0.3375
56,0.60183,0.33467,0.6053,0.34216,0.59623,0.33239,0.60733,0.34068,0.60667,0.3417,0.59351,0.32849
57,0.60424,0.33716,0.60644,0.34363,0.59775,0.33376,0.60923,0.34287,0.60843,0.3429,0.60256,0.33493
58,0.60909,0.33975,0.60719,0.34419,0.59916,0.33538,0.61076,0.34369,0.60915,0.34458,0.61645,0.34389
59,0.61504,0.34383,0.60861,0.34556,0.60151,0.33727,0.61337,0.34522,0.60948,0.34556,0.60871,0.34023
60,0.60566,0.33947,0.61017,0.34716,0.60251,0.33817,0.61486,0.34658,0.61122,0.34656,0.61175,0.3441
61,0.61682,0.34698,0.61177,0.3483,0.60458,0.33965,0.61672,0.34745,0.61227,0.34772,0.62184,0.34969
62,0.6209,0.35032,0.61279,0.34922,0.60599,0.34112,0.61847,0.34829,0.61376,0.34876,0.61963,0.35043
63,0.61412,0.34528,0.61354,0.35058,0.60737,0.34203,0.61951,0.34925,0.6151,0.34969,0.61915,0.35129
64,0.6211,0.35144,0.61469,0.35143,0.60762,0.3426,0.62079,0.35009,0.61653,0.35104,0.62324,0.35313
65,0.6223,0.35393,0.61547,0.35202,0.6089,0.34353,0.62168,0.35136,0.61799,0.35195,0.62497,0.35534
66,0.62397,0.3559,0.61673,0.35325,0.60978,0.34458,0.62284,0.35212,0.61903,0.35256,0.62703,0.35779
67,0.62592,0.35928,0.61723,0.3538,0.61059,0.34535,0.62365,0.35285,0.62014,0.35331,0.62846,0.35908
68,0.6232,0.35564,0.61792,0.35496,0.61219,0.34651,0.62434,0.35367,0.6216,0.3546,0.63188,0.36004
69,0.63226,0.36225,0.61835,0.35552,0.61306,0.34718,0.62522,0.35407,0.6227,0.35548,0.63606,0.36306
70,0.6369,0.36589,0.61981,0.35672,0.61438,0.34809,0.62624,0.35496,0.62366,0.35593,0.63615,0.36383
71,0.63555,0.36498,0.62028,0.35731,0.61444,0.34873,0.62737,0.35588,0.62423,0.35663,0.63374,0.363
72,0.63874,0.36896,0.62112,0.35809,0.61577,0.34966,0.62816,0.35655,0.62502,0.3576,0.63421,0.36497
73,0.64243,0.37164,0.62229,0.3587,0.61686,0.35015,0.6288,0.35735,0.62651,0.35862,0.63972,0.36728
74,0.64342,0.37297,0.623,0.35957,0.61699,0.35085,0.62955,0.35763,0.62782,0.35934,0.64099,0.36959
75,0.64292,0.37296,0.62424,0.36043,0.61798,0.35146,0.63039,0.35826,0.62825,0.36011,0.64413,0.37237
76,0.64534,0.37561,0.62564,0.36127,0.61911,0.35208,0.63127,0.35922,0.62916,0.36077,0.64975,0.37557
77,0.64611,0.37597,0.62627,0.36207,0.61906,0.3526,0.63163,0.35976,0.62985,0.36141,0.65135,0.37626
78,0.64504,0.37633,0.62691,0.36268,0.62023,0.3532,0.63297,0.3606,0.63026,0.362,0.65175,0.37755
79,0.65264,0.38008,0.62771,0.36352,0.62067,0.35377,0.63314,0.36106,0.63111,0.36288,0.65049,0.37795
80,0.65072,0.37954,0.62863,0.36426,0.62093,0.3543,0.63392,0.36154,0.6323,0.36366,0.65323,0.38067
81,0.65228,0.38219,0.62957,0.36519,0.62112,0.3547,0.63455,0.36218,0.63308,0.3644,0.65239,0.38137
82,0.65218,0.38308,0.63038,0.3657,0.62156,0.35583,0.63508,0.36277,0.63383,0.36494,0.65466,0.38256
83,0.65221,0.38342,0.63094,0.36647,0.62234,0.35591,0.63639,0.36362,0.63423,0.3656,0.65749,0.38422
84,0.65483,0.38521,0.63158,0.36752,0.62321,0.35654,0.63729,0.36445,0.63496,0.36615,0.65614,0.38494
85,0.65795,0.38649,0.63257,0.3681,0.62379,0.35761,0.63838,0.36551,0.63581,0.36643,0.65564,0.38412
86,0.66065,0.3896,0.63315,0.36857,0.62505,0.35848,0.63836,0.36598,0.63667,0.36693,0.65701,0.38513
87,0.66234,0.39176,0.63433,0.3696,0.62614,0.35937,0.63893,0.36674,0.63729,0.36765,0.66009,0.38693
88,0.66366,0.39272,0.63492,0.37024,0.62697,0.36029,0.64027,0.3678,0.63818,0.36832,0.66042,0.38744
